Entry,EC Numbers,CLEAN-contact Prediction,CLEAN-contact Prediction Maxsep,ActSeekN Prediction
NP_384124,4.2.1.5,EC:4.2.1.7,EC:4.2.1.7,"[['Q1QWP0 -- 4.4.1.24', 0.3979828706820263], ['P42604 -- 4.2.1.7', 0.29536388755697324], ['A0A6M4JF31 -- 4.2.1.42', 0.22485411216700607], ['A0A238D2A0 -- 4.4.1.24', 0.08179912959399424]]"
NP_384306,2.7.1.59,"EC:2.7.1.59,EC:2.7.1.8,EC:2.7.1.58",EC:2.7.1.59,"[['Q9KUA9 -- 2.7.1.8', 0.3585896066593081], ['P81799 -- 2.7.1.60|2.7.1.59|2.7.1.', 0.2006995153412127], ['Q2YJN9 -- 2.7.1.2', 0.14776300710396212], ['Q9CMX5 -- 2.7.1.59', 0.13459767041145385], ['P75959 -- 2.7.1.59', 0.15835020048406334]]"
NP_384521,3.2.2.3,EC:3.2.2.3,"EC:3.2.2.3,EC:3.2.2.2","[['A0A7W8E619 -- 3.2.2.1', 0.15362626375621893], ['A0A244BNW2 -- 3.2.2.8', 0.1890784420901116], ['P33022 -- 3.2.2.8', 0.219355914435189], ['P83851 -- 3.2.2.2|3.2.2.3', 0.22167301936367528], ['Q27546 -- 3.2.2.2|3.2.2.3', 0.21626636035480515], ['Q27546 -- 3.2.2.2|3.2.2.3', 0.21317680627442134], ['C5CJ35 -- 3.2.2.3', 0.13103417541810933], ['A0A1B7IJG3 -- 3.2.2.1', 0.12852403095981052], ['Q9SJM7 -- 3.2.2.|3.2.2.7|3.2.2.3|3.2.2.2', 0.19772927839970847], ['Q9SJM7 -- 3.2.2.|3.2.2.7|3.2.2.3|3.2.2.2', 0.19772927839970847], ['A0A7W5LZ59 -- 3.2.2.1', 0.18197266172699378], ['A0A1M4ENB4 -- 3.2.2.1', 0.12601372885882767], ['A0A108U8I8 -- 3.2.2.1', 0.12350342675784476], ['A0A6N8HK25 -- 3.2.2.3', 0.18050500833838848], ['A0A1D7ZWK2 -- 3.2.2.3', 0.11747895394378037], ['Q04179 -- 3.2.2.3', 0.16297221941800139], ['Q57X73 -- 3.2.2.1', 0.14115230132550213], ['Q9XWN7 -- 3.2.2.7|3.2.2.1|3.2.2.3|3.2.2.|3.2.2.8|3.2.2.2', 0.15911021618572008], ['A0A1R4K324 -- 3.2.2.1', 0.10442566677550076], ['Q8LAC4 -- 3.2.2.|3.2.2.3|3.2.2.2', 0.15447600632874744], ['A0A0C1PZP7 -- 3.2.2.1', 0.09538895755440416], ['Q6ZJ05 -- 3.2.2.3', 0.11817400053780408], ['A0A0W0ST76 -- 3.2.2.1', 0.08635209069062351], ['A0A087CVJ9 -- 3.2.2.3', 0.07179268531882778], ['A0A0D1A8Y6 -- 3.2.2.1', 0.06627014681081271]]"
NP_384733,5.3.1.14,"EC:5.3.1.14,EC:5.3.1.5,EC:5.3.1.36,EC:4.2.1.118",EC:5.3.1.14,"[['Q5WL39 -- 2.7.1.5|5.3.1.14', 0.3818565305150477], ['A7FN82 -- 5.3.1.14', 0.377637266686322], ['Q6D5T7 -- 5.3.1.36', 0.24050620279863016]]"
NP_384734,4.1.2.19,EC:3.4.17.19,EC:3.4.17.19,"[['A0A0H2ZTN5 -- 1.1.1.275', 0.15372443683445267], ['Q937L4 -- 1.1.1.245|1.1.1.163', 0.19453979788524095], ['Q99LB2 -- 1.1.1.300|1.1.1.184', 0.22996050310659225], ['Q9F7E0 -- 1.1.1.245', 0.19917165158203168], ['F1SWA0 -- 1.1.1.326', 0.22260361059168243], ['Q8KWT4 -- 1.1.1.385', 0.17655730706240655], ['Q8JIS3 -- 1.1.1.162|1.1.1.10', 0.22996050310659225], ['Q6TMA3 -- 1.1.1.245', 0.21949739925077333], ['A0A395KXU6 -- 1.1.1.175', 0.2132857002901436], ['P0DXE1 -- 1.1.1.438', 0.1954664276406034], ['P19871 -- 1.1.1.51', 0.19731903961131755], ['Q8YIN7 -- 1.1.1.159', 0.1473490245228735], ['P0AET8 -- 1.1.1.159', 0.22233095815657397], ['A7IQH5 -- 1.1.1.269', 0.2234211108099415], ['G0RH19 -- 1.1.1.10', 0.21949739925077333], ['Q9GKX2 -- 1.1.1.300|1.1.1.184', 0.22560065430489928], ['T2KLZ8 -- 1.1.1.127', 0.18990794418845025], ['Q5HKG6 -- 1.1.1.304', 0.17165276283991848], ['A0QYC2 -- 1.1.1.403', 0.22015141466161617], ['A0A369Q3P5 -- 1.1.1.53', 0.1459323212511509], ['P50171 -- 1.1.1.62|1.1.1.239', 0.2168817185132908], ['P73826 -- 1.1.1.36', 0.2081089226290246], ['A0A0T7CJU1 -- 1.1.1.36', 0.14664042529818455], ['A7B3K3 -- 1.1.1.|1.1.1.392', 0.20914384392853536], ['Q5FPE5 -- 1.1.1.119', 0.18898131443308785], ['Q56632 -- 1.3.1.28', 0.1852760904916596], ['A0QYC2 -- 1.1.1.403', 0.21797187116665837], ['O70351 -- 1.1.1.159|1.1.1.35|1.1.1.178|1.1.1.62|1.1.1.53|1.1.1.239', 0.2212415673149837], ['P19871 -- 1.1.1.51', 0.19083457394381273], ['A0A653PG61 -- 1.1.1.175', 0.2101794889492345], ['Q92EU6 -- 1.1.1.6', 0.2081089226290246], ['Q1MLL4 -- 1.1.1.16', 0.2081089226290246], ['A0A0H2ZU39 -- 1.1.1.275', 0.13955641376191644], ['D4D446 -- 1.1.1.332', 0.18805533221773615], ['D5RR15 -- 1.1.1.162', 0.15367038628885066], ['Q21929 -- 1.1.1.10', 0.2125226315233752], ['B8H1Z0 -- 1.1.1.175', 0.18342347852094548], ['C1DMX5 -- 1.1.1.378', 0.2114324788700076], ['A0A6H0ZPB0 -- 1.1.1.276', 0.16102663126374975], ['A0A2X4TPU4 -- 1.1.1.53', 0.1360144079937824], ['P87219 -- 1.1.1.289', 0.2081089226290246], ['Q6CEE9 -- 1.1.1.138', 0.19982593362699652], ['P87219 -- 1.1.1.289', 0.2081089226290246], ['A0A2S0PZ51 -- 1.1.1.119', 0.13105569895392577], ['A0A839RH20 -- 1.1.1.53', 0.13105569895392577], ['P22441 -- 1.1.1.233', 0.17230651161663924], ['O75452 -- 1.1.1.53|1.1.1.105|1.1.1.315|1.1.1.209', 0.20598323922672448], ['P08088 -- 1.3.1.19', 0.1593919736425314], ['P39485 -- 1.1.1.47', 0.17415977112736408], ['A7DY56 -- 1.1.1.206|1.1.1.236', 0.20380369573176668], ['W3XAA0 -- 1.1.1.252', 0.17415977112736408], ['Q5LA59 -- 1.1.1.|1.1.1.159', 0.19726430343511595], ['Q04520 -- 1.1.1.304', 0.1621168220077062], ['O00058 -- 1.1.1.138', 0.1760123830980782], ['A0A1Z5JHS9 -- 1.1.1.206', 0.13247240222564835], ['A0A2H6K3D0 -- 1.1.1.325', 0.19154294462496843], ['P0AEK2 -- 1.1.1.100', 0.1961749125935257], ['Q9Y7P2 -- 1.1.1.102', 0.1695279174305734], ['Q94KL7 -- 1.1.1.331', 0.16767465791984854], ['A0A2S6TXD0 -- 1.2.1.62', 0.19671972228608742], ['Q3U0B3 -- 1.1.1.270|1.1.1.62', 0.1961749125935257], ['Q5LA59 -- 1.1.1.|1.1.1.159', 0.1983544560884835], ['Q8NK50 -- 1.1.1.138', 0.19154294462496843], ['A0A1X7BV93 -- 1.1.1.233', 0.13034709972923686], ['Q7RZR2 -- 1.1.1.102', 0.16674867570449683], ['Q9XT00 -- 1.1.1.62|1.1.1.239', 0.1918150637918328], ['Q9KWN1 -- 1.1.1.276', 0.18222431060224115], ['A0A7W8DCU1 -- 1.1.1.206', 0.12538839068938026], ['A0A0W0S7B6 -- 1.1.1.100|1.1.1.178', 0.12751369318579173], ['Q9VXJ0 -- 4.2.1.119', 0.18636582414854963], ['Q8LKV5 -- 1.1.1.146|1.1.1.62', 0.19290521644520037], ['Q6YN16 -- 1...', 0.1939946072867906], ['P39640 -- 1.1.1.385', 0.17601261164161142], ['C8WMP0 -- 1.1.1.|1.1.1.52', 0.16669397761888413], ['A0A1Y2NU24 -- 1.1.1.340', 0.11759577992842321], ['P50166 -- 1.1.1.250', 0.15099985510339994], ['A0A5S9MYN9 -- 1.1.1.392', 0.11972108242483469], ['Q93UV4 -- 1.1.1.256', 0.14729463116197167], ['Q59RQ2 -- 1.1.1.102', 0.17437719220861575], ['C0XV30 -- 1.1.1.252', 0.10980316916746617], ['P08088 -- 1.3.1.19', 0.13323516626770585], ['A0A538A5V0 -- 1.1.1.381', 0.16462341129867425], ['Q70FD1 -- 1.1.1.15|1.1.1.250', 0.15841098861685604], ['Q6F7B8 -- 1.2.1.n2', 0.14451538943589512], ['A0A173KS42 -- 1.1.1.76', 0.16048155493706595], ['P51660 -- 4.2.1.119|4.2.1.107', 0.1711082578720677], ['A0A8C5KW34 -- 1.1.1.62|1.1.1.300', 0.14081016549446687], ['A0A0F5FXZ1 -- 1.1.1.298|1.1.1.381', 0.12260903469153708], ['P50162 -- 1.1.1.206', 0.16462341129867425], ['Q9KWN1 -- 1.1.1.276', 0.15634042229664613], ['P0C0Y5 -- 1.1.1.138', 0.17219764871365795], ['O02691 -- 1.1.1.159|1.1.1.35|1.1.1.178|1.1.1.62|1.1.1.53|1.1.1.239', 0.16892795256533258], ['A0A2P4UHY3 -- 1.1.1.313', 0.10626116339933214], ['P37058 -- 1.1.1.64|1.1.1.62', 0.17001810521870017], ['A0A6J5A542 -- 1.1.1.53', 0.10413586090292064], ['P38342 -- 1.1.1.102', 0.1667484090703748], ['A0A2P9AFF8 -- 1.1.1.127', 0.1027191576311981], ['Q9M2E2 -- 1.1.1.|1.1.1.208', 0.15841098861685604], ['O88736 -- 1.1.1.210|1.1.1.270|1.1.1.62', 0.164568865575417], ['A0A1V6AHU2 -- 1.1.1.127', 0.14495122195370894], ['A0A8B6DK30 -- 1.1.1.105', 0.10707893025171326], ['Q6P3L6 -- 1.1.1.330|1.1.1.62', 0.15634042229664613], ['O52384 -- 1.3.1.29', 0.1371042940130279], ['P0AFS3 -- 1.5.1.50|1.5.1.3', 0.16129916942709163], ['P50842 -- 1.1.1.127', 0.1380309237683903], ['E0VSJ3 -- 1.1.1.105', 0.1013024543594755], ['P55006 -- 1.1.1.105', 0.13154581056087478], ['A0A6N3CIY2 -- 1.2.1.62', 0.10838646589574362], ['A0A8F5SIS3 -- 1.1.1.198', 0.12876721637480895], ['P39831 -- 1.1.1.298|1.1.1.381', 0.1438612978438746], ['Q82IY9 -- 1.1.1.340', 0.14288065563349905], ['E6TIQ4 -- 1.3.1.19', 0.09988575108775295], ['V6L7P9 -- 1.1.1.159', 0.09634374531961888], ['A0A3Q8GYY4 -- 5.5.1.34', 0.13617766425766545], ['A0A143Q6D5 -- 1.1.1.313', 0.13873879927189076], ['Q8X505 -- 1.1.1.298|1.1.1.381', 0.12135612095194169], ['Q8AVY8 -- 1.1.1.330|1.1.1.62', 0.14081008931328912], ['Q1R183 -- 1.1.1.313', 0.13977444429258995], ['P51658 -- 1.1.1.239|1.1.1.62', 0.14081008931328912], ['P51110 -- 1.1.1.219|1.1.1.234', 0.11487100774442616], ['Q5RCU5 -- 1.1.1.71|1.1.1.184|1.1.1.196|1.1.1.197|1.1.1.189', 0.13514236205226607], ['P37058 -- 1.1.1.64|1.1.1.62', 0.14931053748715775], ['A0A087D157 -- 1.1.1.105', 0.10380904365044358], ['A0A6J5FGU6 -- 4.1.1.51', 0.07863322130129335], ['P50170 -- 1.1.1.53|1.1.1.105|1.1.1.315|1.1.1.209', 0.139502210853959], ['O14756 -- 1.1.1.105|1.1.1.62|1.1.1.209|1.1.1.53|1.1.1.239', 0.13514236205226607], ['C1DMX5 -- 1.1.1.378', 0.13623251470563366], ['A0A0A7LMG2 -- 5.1.3.20', 0.12113789996832384], ['B7PHR6 -- 1.1.1.105', 0.07438311148612566], ['T0FLV1 -- 4.2.1.109', 0.08582666709937574], ['Q9HK58 -- 1.1.1.377', 0.12217354498902305], ['P0A9P9 -- 1.1.1.69', 0.11803168862741477], ['P9WQP7 -- 5.3.3.1|1.1.1.145', 0.11334540347913344], ['Q64105 -- 1.1.1.153', 0.12642342626065753], ['P9WGT3 -- 1.1.1.36|1.1.1.100', 0.11443555613250099], ['Q12068 -- 1.1.1.283|1.1.1.265', 0.12097418661737439], ['A7GKX7 -- 4.1.1.128', 0.10560756698496686], ['P47844 -- 1.1.1.71|1.1.1.184|1.1.1.196|1.1.1.197|1.1.1.189', 0.11116585998417564], ['P0CI31 -- 1.3.1.87', 0.11492547728650566], ['O75452 -- 1.1.1.53|1.1.1.105|1.1.1.315|1.1.1.209', 0.10898631648921785], ['P38286 -- 1.1.1.330', 0.11770449046904903], ['Q00278 -- 1.1.1.349', 0.12206433927074196], ['A0A2S6TBZ7 -- 5.1.3.26', 0.10043078932384786], ['P0DMP5 -- 1.1.1.194', 0.08985912728975862], ['Q86A17 -- 1.5.1.34', 0.0937279884009586], ['Q62878 -- 1.1.1.145|5.3.3.1', 0.10571662034089249], ['Q58NB6 -- 1.1.1.53|1.1.1.105|1.1.1.209', 0.09917722804424176], ['A0A2P6RSP8 -- 1.1.1.206', 0.039670662674163505], ['Q9WXG7 -- 1.3.1.49', 0.09214780032181975], ['A0A7K0E0D6 -- 1.1.1.340', 0.056672587467800115]]"
NP_384741,2.7.1.5,EC:4.2.3.192,EC:4.2.3.192,
NP_384883,1.1.3.15,EC:1.1.99.14,EC:1.1.99.14,"[['C3MGS3 -- 1.1.3.15', 0.6343150590834947], ['O00116 -- 2.5.1.26', 0.3656849409165052]]"
NP_384884,1.1.3.15,"EC:1.1.99.14,EC:4.1.1.111",EC:1.1.99.14,
NP_384885,1.1.3.15,EC:1.1.99.14,EC:1.1.99.14,"[['P52074 -- 1.1.99.14', 0.531634298268891], ['P96797 -- 1.8.98.1', 0.25944455781023534], ['P94534 -- 1.1.99.14', 0.20892114392087374]]"
NP_385263,1.1.1.48,"EC:1.1.1.48,EC:1.1.1.120",EC:1.1.1.48,"[['A0A5E7Y6A0 -- 1.1.1.376', 0.28126955246685625], ['A0A6J4KL65 -- 1.1.1.48', 0.18231862578001692], ['Q53TZ2 -- 1.1.1.48|1.1.1.120|1.1.1.376', 0.23997504643477152], ['A0A6J4T463 -- 1.1.1.48', 0.1478807347696757], ['A0A0N9ZFC8 -- 1.1.1.48', 0.14855604054867957], ['A0A6M8MUA5 -- 1.1.1.48', 0.13572606266110024], ['Q53TZ2 -- 1.1.1.120|1.1.1.376|1.1.1.48', 0.21296473507498795], ['A0A1Q9A592 -- 1.1.1.48', 0.13234994972282804], ['A0A7W6P880 -- 1.1.1.48', 0.1337003533024622]]"
